wall_time_iso,wall_time_unix,lsl_timestamp,sample_index,ch0,ch1,ch2,ch3,ch4
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.718125,0,968.75,969.23828125,-536.62109375,964.84375,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.722031,1,968.75,969.7265625,-544.43359375,970.703125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.725938,2,968.26171875,969.23828125,-176.7578125,969.7265625,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.729844,3,968.26171875,969.23828125,279.296875,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.733750,4,968.75,969.23828125,380.37109375,969.7265625,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.737656,5,968.75,969.23828125,516.11328125,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.741563,6,968.26171875,969.23828125,569.82421875,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.745469,7,968.75,969.23828125,640.625,969.7265625,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.749375,8,968.75,969.23828125,746.09375,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.753281,9,968.75,969.23828125,785.64453125,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.757188,10,968.75,969.23828125,766.11328125,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.761094,11,968.75,969.7265625,798.33984375,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.763125,12,968.75,969.23828125,844.7265625,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.767031,13,968.75,969.23828125,863.28125,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.770937,14,968.75,969.7265625,868.1640625,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.774844,15,968.75,969.23828125,875.9765625,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.778750,16,968.75,969.23828125,882.8125,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.782656,17,968.26171875,969.23828125,888.671875,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.786562,18,968.26171875,969.23828125,895.5078125,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.790469,19,968.26171875,969.7265625,900.87890625,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.794375,20,968.75,969.23828125,911.62109375,969.23828125,-996.09375
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.798281,21,968.75,969.23828125,910.64453125,969.23828125,-998.046875
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.802187,22,968.26171875,969.23828125,910.15625,969.7265625,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.806094,23,968.75,969.7265625,914.0625,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.809125,24,968.75,969.23828125,916.9921875,969.23828125,-999.0234375
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.813031,25,968.75,975.09765625,919.921875,969.23828125,-996.09375
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.816937,26,968.75,944.3359375,919.43359375,969.23828125,-1000.0
2026-01-19T21:06:16.722590,1768878376.722590,1768878375.820844,27,968.26171875,958.0078125,923.33984375,969.23828125,-875.9765625
